USD,MATURITY,CPN,CPN_FREQ,PX_MID,DAY_CNT_DES,YLD_YTM_MID
1M,7/2/2013,0,NaN,0.057499999,ACT/360,0.058460387
3M,18/4/2013,0,NaN,0.07249999,ACT/360,0.068449303
6M,18/7/2013,0,NaN,0.102500021,ACT/360,0.103977513
1Y,9/1/2014,0,NaN,0.132499993,ACT/360,0.134473192
2Y,31/12/2014,0.125,2,99.76171875,ACT/ACT,0.2472015
3Y,15/1/2016,0.375,2,100.0195313,ACT/ACT,0.3658183
5Y,31/12/2017,0.75,2,99.98828125,ACT/ACT,0.7507928
7Y,31/12/2019,1.125,2,99.2421875,ACT/ACT,1.2343031
10Y,15/11/2022,1.625,2,98.13671875,ACT/ACT,1.8267685
30Y,15/11/2042,2.75,2,94.7109375,ACT/ACT,3.0110611
