ATM,USD,1 YR,2 YR,3 YR,4 YR,5 YR,6 YR,7 YR,8 YR,9 YR,10 YR,12 YR,15 YR,20 YR,25 YR,30 YR
1 MO,Vol,71.07,57.3,59.1,57,53.45,46.1,45.78,39.55,38.3,36.9,34.1,29.8,28.43,26.5,27.4
1 MO,Strike,0.3223,0.3889,0.4995,0.6779,0.8972,1.1317,1.3553,1.5585,1.7362,1.8959,2.1656,2.4393,2.6704,2.7874,2.8594
3 MO,Vol,63.63,52.75,54.2,51.45,49.23,46.08,42.6,39.42,37.75,36.15,33.53,29.55,27.78,27.03,27.38
3 MO,Strike,0.3265,0.408,0.5327,0.7274,0.9541,1.1903,1.4143,1.6129,1.7884,1.9467,2.2093,2.4743,2.6981,2.8111,2.8799
6 MO,Vol,62.03,54.28,55.8,52.3,47.97,44.4,42.13,39.2,37.78,36.85,34.25,30.2,28.63,27.65,27.7
6 MO,Strike,0.3596,0.4548,0.607,0.8193,1.0554,1.2924,1.5122,1.706,1.8777,2.0332,2.2812,2.5327,2.7444,2.851,2.914
9 MO,Vol,62.4,55.9,56.7,49.42,46.48,43.03,40.47,38.38,37.1,35.4,33.32,30.18,28.3,27.43,27
9 MO,Strike,0.3951,0.5054,0.6831,0.9119,1.157,1.3938,1.6095,1.7979,1.9649,2.1171,2.3515,2.5888,2.7889,2.8892,2.9466
1 YR,Vol,61.07,56.92,57.17,48.95,45.78,42.28,39.82,37.5,36.2,35.35,33.17,29.93,28.43,27.53,26.85
1 YR,Strike,0.4396,0.5657,0.7666,1.0087,1.2622,1.4997,1.7103,1.8927,2.0555,2.202,2.4232,2.6456,2.8344,2.9281,2.9799
2 YR,Vol,65.9,53.4,48.43,43.98,41.1,37.9,36.38,34.6,33.4,32.78,30.75,27.8,27.43,26.75,26.78
2 YR,Strike,0.6925,0.9315,1.2018,1.4735,1.7199,1.9328,2.1136,2.2733,2.4162,2.5361,2.7105,2.8723,3.014,3.0824,3.1118
3 YR,Vol,55.72,48,42.3,38.82,36.5,34.6,32.85,31.73,30.85,29.75,28.5,26.75,26.15,25,25.55
3 YR,Strike,1.1693,1.46,1.7405,1.9857,2.1928,2.3654,2.5159,2.6525,2.764,2.8454,2.9916,3.0909,3.1859,3.2301,3.2374
4 YR,Vol,46.63,41.3,37.67,35.15,33.4,32.03,30.55,29.2,28.43,27.75,26.83,25.53,25,24.53,24.38
4 YR,Strike,1.7512,2.0325,2.2678,2.4612,2.62,2.7584,2.8842,2.9867,3.0567,3.1234,3.2121,3.2822,3.3349,3.3571,3.3443
5 YR,Vol,38.78,35.5,33.45,31.82,30.65,29.5,28.17,27.28,26.72,26.18,25.43,24.33,24.05,23.5,23.53
5 YR,Strike,2.3184,2.5348,2.7098,2.8515,2.9765,3.092,3.1841,3.2423,3.2998,3.3548,3.3876,3.4355,3.4509,3.4557,3.4254
6 YR,Vol,34.13,32.4,30.68,29.58,28.3,27.28,26.35,25.8,25.2,24.9,24.7,24.4,23.1,23.03,22.6
6 YR,Strike,2.7594,2.9161,3.0416,3.1558,3.2632,3.3458,3.3929,3.4422,3.4908,3.4975,3.5162,3.5366,3.5331,3.5188,3.4795
7 YR,Vol,31.1,29.9,28.73,27.55,26.68,26,25.28,24.85,24.45,24.35,23.75,22.85,22.63,22.38,22.78
7 YR,Strike,3.0776,3.1893,3.2962,3.3995,3.475,3.5113,3.5536,3.5971,3.5944,3.596,3.6065,3.6035,3.5869,3.557,3.5108
8 YR,Vol,28.83,27.9,26.8,25.85,25.2,24.88,24.45,23.9,23.5,23.2,22.83,22.28,21.98,21.97,22.15
8 YR,Strike,3.304,3.4096,3.5138,3.5827,3.6071,3.6427,3.682,3.6698,3.6643,3.6636,3.6697,3.6453,3.62,3.5764,3.5252
9 YR,Vol,26.83,26.03,25.4,24.3,24.38,24.05,23.53,23.1,23.18,22.7,22.4,22,21.55,21.6,21.35
9 YR,Strike,3.5189,3.624,3.6824,3.6899,3.7181,3.7535,3.7301,3.7172,3.7114,3.7096,3.6974,3.6694,3.6373,3.5819,3.5271
10 YR,Vol,25.48,25,24.45,24.03,23.5,23.33,23.1,22.88,22.8,22.58,22.2,21.68,21.15,21.15,21.35
10 YR,Strike,3.7314,3.7687,3.7512,3.7726,3.8057,3.7702,3.75,3.7397,3.735,3.7342,3.704,3.6746,3.6392,3.5737,3.5168
12 YR,Vol,24.42,23.87,23.72,23.56,23.24,23.02,22.77,22.36,22.22,22.2,21.67,20.92,20.65,20.79,21.06
